ds;yhat
2020-01-31;74,698338536
2020-02-29;74,202942323
2020-03-31;77,585745884
2020-04-30;67,110004474
2020-05-31;56,527591685
2020-06-30;58,716640408
2020-07-31;68,808287392
2020-08-31;50,409666528
2020-09-30;67,445442520
2020-10-31;62,747890610
2020-11-30;80,977415437
2020-12-31;121,395777028
2021-01-31;40,555279885
2021-02-28;86,827475985
2021-03-31;84,702858413
2021-04-30;84,624289219
2021-05-31;84,715247670
2021-06-30;75,457385738
2021-07-31;77,034648476
2021-08-31;69,306443455
2021-09-30;84,648035924
2021-10-31;89,386901271
2021-11-30;88,058473435
2021-12-31;130,909014504
2022-01-31;74,702204699
2022-02-28;99,063354911
2022-03-31;91,786781408
2022-04-30;102,344090451
2022-05-31;112,826394078
2022-06-30;91,853115606
2022-07-31;85,164479750
2022-08-31;88,260909881
2022-09-30;101,861262319
2022-10-31;115,812194680
2022-11-30;94,930063615
2022-12-31;140,672437891
2023-01-01;171,758084684
2023-02-01;41,094848399
2023-03-01;129,834061969
2023-04-01;139,068106113
2023-05-01;118,444017801
2023-06-01;96,911394490
2023-07-01;110,257000664
2023-08-01;129,086450738
2023-09-01;100,163720817
2023-10-01;118,827818721
2023-11-01;104,451855975
2023-12-01;142,198627589
2024-01-01;180,622132874
2024-02-01;74,945597667
2024-03-01;157,648297731
2024-04-01;186,493491252
2024-05-01;137,133812598
2024-06-01;81,312263626
2024-07-01;126,362053697
2024-08-01;172,753140413
2024-09-01;113,343223728
2024-10-01;136,658507837
2024-11-01;91,984551776
2024-12-01;187,974581320
2025-01-01;223,202882502
2025-02-01;42,185367175
2025-03-01;171,486343788
2025-04-01;193,466116764
2025-05-01;153,391977887
2025-06-01;109,231257537
2025-07-01;144,023264267
2025-08-01;181,017843863
2025-09-01;131,585313146
2025-10-01;153,389815532
2025-11-01;119,023768046
2025-12-01;195,674665347
