ds;yhat
2020-01-31;7,389378235
2020-02-29;4,696051471
2020-03-31;7,192686023
2020-04-30;-0,121988957
2020-05-31;1,205055990
2020-06-30;1,193816108
2020-07-31;14,069338124
2020-08-31;7,298685393
2020-09-30;5,115835400
2020-10-31;1,182758574
2020-11-30;1,317565834
2020-12-31;8,408681893
2021-01-31;15,237691077
2021-02-28;9,661595643
2021-03-31;14,654991411
2021-04-30;13,698192137
2021-05-31;5,678240992
2021-06-30;12,715558999
2021-07-31;14,719463115
2021-08-31;9,942926458
2021-09-30;19,007346961
2021-10-31;10,701954530
2021-11-30;10,056415459
2021-12-31;12,380373771
2022-01-31;22,519995603
2022-02-28;14,682821949
2022-03-31;22,244042118
2022-04-30;27,485330175
2022-05-31;10,080852030
2022-06-30;24,134706883
2022-07-31;15,281779656
2022-08-31;12,771433040
2022-09-30;33,017373254
2022-10-31;20,165380713
2022-11-30;18,684137075
2022-12-31;16,294832941
2023-01-01;29,972390957
2023-02-01;30,354941221
2023-03-01;29,476967556
2023-04-01;29,551928336
2023-05-01;15,725543152
2023-06-01;26,354583543
2023-07-01;19,265055084
2023-08-01;43,016724458
2023-09-01;34,526362891
2023-10-01;21,043653118
2023-11-01;21,306356265
2023-12-01;22,162627973
2024-01-01;34,069680344
2024-02-01;37,645803179
2024-03-01;44,718294415
2024-04-01;38,017339892
2024-05-01;3,796253963
2024-06-01;41,988251865
2024-07-01;13,509260228
2024-08-01;69,813126962
2024-09-01;57,826692895
2024-10-01;10,261387799
2024-11-01;22,034437112
2024-12-01;24,668650595
2025-01-01;51,263833299
2025-02-01;45,442974888
2025-03-01;49,491279969
2025-04-01;44,963706234
2025-05-01;17,677519959
2025-06-01;46,746220616
2025-07-01;25,420375109
2025-08-01;70,896602917
2025-09-01;59,797140772
2025-10-01;23,609910702
2025-11-01;31,727140383
2025-12-01;33,836285134
