ds;yhat
2020-01-31;70,202762427
2020-02-29;71,690153439
2020-03-31;53,871368062
2020-04-30;36,988762558
2020-05-31;41,419119508
2020-06-30;55,255334802
2020-07-31;23,664494546
2020-08-31;7,070709071
2020-09-30;51,871380164
2020-10-31;51,839262258
2020-11-30;93,102823468
2020-12-31;116,070556992
2021-01-31;82,070867137
2021-02-28;117,714366907
2021-03-31;136,399789459
2021-04-30;138,528382511
2021-05-31;144,114835744
2021-06-30;123,773426546
2021-07-31;96,194113010
2021-08-31;105,895046724
2021-09-30;137,690154284
2021-10-31;148,809094485
2021-11-30;136,866670315
2021-12-31;232,430130717
2022-01-31;192,746505563
2022-02-28;163,537344574
2022-03-31;219,694233786
2022-04-30;240,424456550
2022-05-31;246,410660922
2022-06-30;191,925802658
2022-07-31;169,102810324
2022-08-31;205,000037312
2022-09-30;223,427462177
2022-10-31;245,336103815
2022-11-30;181,032183704
2022-12-31;349,502179652
2023-01-01;227,325961406
2023-02-01;200,439035352
2023-03-01;367,061536790
2023-04-01;313,742706735
2023-05-01;277,480760504
2023-06-01;280,008314662
2023-07-01;328,027566947
2023-08-01;293,184252038
2023-09-01;250,237083921
2023-10-01;307,686805667
2023-11-01;296,150619080
2023-12-01;391,436452032
2024-01-01;342,198316377
2024-02-01;312,467772874
2024-03-01;567,637440793
2024-04-01;414,097132126
2024-05-01;317,781055385
2024-06-01;310,063355816
2024-07-01;460,209924837
2024-08-01;420,115029211
2024-09-01;297,980818276
2024-10-01;391,137333665
2024-11-01;342,889653295
2024-12-01;604,670858314
2025-01-01;341,763940369
2025-02-01;316,313667319
2025-03-01;615,100753344
2025-04-01;493,891246982
2025-05-01;417,875999656
2025-06-01;414,326188054
2025-07-01;530,538514721
2025-08-01;491,441553153
2025-09-01;395,694003787
2025-10-01;477,323687436
2025-11-01;441,679599554
2025-12-01;647,265030064
