ds;yhat
2020-01-31;279,760166121
2020-02-29;325,245246384
2020-03-31;333,213905791
2020-04-30;317,189117786
2020-05-31;156,284565203
2020-06-30;280,638744330
2020-07-31;202,250042937
2020-08-31;227,764280587
2020-09-30;300,608784184
2020-10-31;281,569768928
2020-11-30;411,514571157
2020-12-31;551,731759279
2021-01-31;345,234315803
2021-02-28;479,633952158
2021-03-31;614,847482114
2021-04-30;549,380937210
2021-05-31;477,846462887
2021-06-30;454,223558587
2021-07-31;369,210087127
2021-08-31;523,420806932
2021-09-30;683,513814711
2021-10-31;560,547215768
2021-11-30;599,735351341
2021-12-31;862,093569298
2022-01-31;705,005897436
2022-02-28;710,866272035
2022-03-31;981,757324763
2022-04-30;873,243736534
2022-05-31;881,752889051
2022-06-30;702,191591550
2022-07-31;606,598232016
2022-08-31;882,923061275
2022-09-30;1119,040872258
2022-10-31;882,079829777
2022-11-30;825,840154932
2022-12-31;1204,241319328
2023-01-01;1148,168313577
2023-02-01;859,841901404
2023-03-01;1274,371960974
2023-04-01;1163,947584904
2023-05-01;1204,076378663
2023-06-01;967,738988516
2023-07-01;1254,477324962
2023-08-01;1202,104029993
2023-09-01;1115,902585991
2023-10-01;1113,036783110
2023-11-01;1211,143642830
2023-12-01;1449,716591811
2024-01-01;1485,218722611
2024-02-01;1242,744482718
2024-03-01;1839,105276766
2024-04-01;1356,726398916
2024-05-01;1536,916008997
2024-06-01;1041,644623557
2024-07-01;1787,195519160
2024-08-01;1811,938431820
2024-09-01;1376,923662499
2024-10-01;1103,923515038
2024-11-01;1514,421962927
2024-12-01;2071,539481735
2025-01-01;1781,464211533
2025-02-01;1395,389873244
2025-03-01;2084,942197832
2025-04-01;1725,340978030
2025-05-01;1859,800159965
2025-06-01;1452,327425688
2025-07-01;2046,055897063
2025-08-01;2041,379050844
2025-09-01;1720,859394778
2025-10-01;1541,178514933
2025-11-01;1850,271659330
2025-12-01;2298,784029604
