ds;yhat
2020-01-31;76,137194312
2020-02-29;103,705325179
2020-03-31;71,600775658
2020-04-30;117,064078446
2020-05-31;95,082582586
2020-06-30;96,752662757
2020-07-31;53,816827395
2020-08-31;22,616187990
2020-09-30;75,349044389
2020-10-31;76,124009266
2020-11-30;101,998202942
2020-12-31;124,036908565
2021-01-31;79,622926096
2021-02-28;115,974996707
2021-03-31;117,749484653
2021-04-30;110,317520913
2021-05-31;134,835569115
2021-06-30;128,744127404
2021-07-31;54,584680901
2021-08-31;59,144301022
2021-09-30;106,002928150
2021-10-31;100,726209969
2021-11-30;105,236057208
2021-12-31;158,508243667
2022-01-31;110,300013482
2022-02-28;128,341122545
2022-03-31;163,677925037
2022-04-30;103,564883832
2022-05-31;174,973553813
2022-06-30;160,351128037
2022-07-31;55,435916552
2022-08-31;96,039982484
2022-09-30;136,462530178
2022-10-31;124,958010955
2022-11-30;108,627909321
2022-12-31;193,317859532
2023-01-01;151,284571823
2023-02-01;113,079103954
2023-03-01;186,668265252
2023-04-01;120,389252062
2023-05-01;218,921133503
2023-06-01;150,868908297
2023-07-01;159,525592042
2023-08-01;148,253865997
2023-09-01;81,608774636
2023-10-01;139,654479204
2023-11-01;146,291468725
2023-12-01;194,035643534
2024-01-01;185,054107944
2024-02-01;143,973970868
2024-03-01;245,755223841
2024-04-01;75,400061801
2024-05-01;333,764405274
2024-06-01;130,441282849
2024-07-01;155,370623836
2024-08-01;241,451741308
2024-09-01;70,677430264
2024-10-01;141,311898516
2024-11-01;164,267168505
2024-12-01;280,455268794
2025-01-01;179,976742447
2025-02-01;146,150927786
2025-03-01;257,698894049
2025-04-01;122,272235501
2025-05-01;327,296288518
2025-06-01;168,537128970
2025-07-01;188,826160155
2025-08-01;242,091812295
2025-09-01;105,629541707
2025-10-01;172,623377204
2025-11-01;190,363197018
2025-12-01;283,285185400
