ds;yhat
2020-01-31;117,363779124
2020-02-29;108,047289083
2020-03-31;111,785855780
2020-04-30;46,989838754
2020-05-31;51,780958568
2020-06-30;140,698715036
2020-07-31;44,079139649
2020-08-31;43,255132668
2020-09-30;99,066134118
2020-10-31;88,796020547
2020-11-30;123,329117174
2020-12-31;174,886193090
2021-01-31;103,959734728
2021-02-28;135,383893761
2021-03-31;143,457271243
2021-04-30;122,261043548
2021-05-31;109,951971942
2021-06-30;148,748122336
2021-07-31;89,809466084
2021-08-31;104,016675903
2021-09-30;127,344604638
2021-10-31;149,650181622
2021-11-30;170,504471966
2021-12-31;200,686240786
2022-01-31;167,713136912
2022-02-28;162,535977000
2022-03-31;175,735652989
2022-04-30;197,723819367
2022-05-31;167,233066234
2022-06-30;156,535631952
2022-07-31;136,111531448
2022-08-31;164,718643064
2022-09-30;155,613431368
2022-10-31;210,577508382
2022-11-30;217,190774379
2022-12-31;226,457439228
2023-01-01;301,229833328
2023-02-01;154,343869083
2023-03-01;258,319786691
2023-04-01;258,523126352
2023-05-01;149,759654995
2023-06-01;170,548925016
2023-07-01;310,161231682
2023-08-01;176,727802477
2023-09-01;160,261449833
2023-10-01;248,581869842
2023-11-01;205,844214954
2023-12-01;253,478466976
2024-01-01;326,848680917
2024-02-01;217,934237470
2024-03-01;352,230610719
2024-04-01;346,764182743
2024-05-01;104,453424964
2024-06-01;166,522368248
2024-07-01;461,165022782
2024-08-01;222,881354656
2024-09-01;156,110783122
2024-10-01;341,956649901
2024-11-01;202,794289233
2024-12-01;286,222645474
2025-01-01;427,546199299
2025-02-01;204,856552844
2025-03-01;380,338133608
2025-04-01;375,938254089
2025-05-01;178,372146405
2025-06-01;227,820582068
2025-07-01;470,356719668
2025-08-01;266,065636312
2025-09-01;216,608121471
2025-10-01;369,973474345
2025-11-01;262,768749365
2025-12-01;334,865955051
