ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-31,21.101535000000002,-35.21847331505228,78.75816718082432,21.101535000000002,21.101535000000002,0.0,0.0,0.0,0.0,0.0,0.0,21.101535000000002
2020-02-29,27.375169943661973,-30.490179783754183,81.87679728444385,27.375169943661973,27.375169943661973,0.0,0.0,0.0,0.0,0.0,0.0,27.375169943661973
2020-03-31,34.08146936682768,-29.787959091236477,88.05795286863606,34.08146936682768,34.08146936682768,0.0,0.0,0.0,0.0,0.0,0.0,34.08146936682768
2020-04-30,40.571436549063,-14.620423286093741,97.82276757619478,40.571436549063,40.571436549063,0.0,0.0,0.0,0.0,0.0,0.0,40.571436549063
2020-05-31,47.27773597076746,-5.443533516366093,103.96333996558408,47.27773597076746,47.27773597076746,0.0,0.0,0.0,0.0,0.0,0.0,47.27773597076746
2020-06-30,53.76770315316228,-2.4188023013580646,109.31115993483368,53.76770315316228,53.76770315316228,0.0,0.0,0.0,0.0,0.0,0.0,53.76770315316228
2020-07-31,60.474002574285684,1.3381541573237128,115.75992887949408,60.474002574285684,60.474002574285684,0.0,0.0,0.0,0.0,0.0,0.0,60.474002574285684
2020-08-31,67.18030199531391,10.930364600545117,123.42921544793606,67.18030199531391,67.18030199531391,0.0,0.0,0.0,0.0,0.0,0.0,67.18030199531391
2020-09-30,73.67026917695415,22.306614757758055,133.47588421197568,73.67026917695415,73.67026917695415,0.0,0.0,0.0,0.0,0.0,0.0,73.67026917695415
2020-10-31,80.37656859979147,22.36898481434369,134.5837910215977,80.37656859979147,80.37656859979147,0.0,0.0,0.0,0.0,0.0,0.0,80.37656859979147
2020-11-30,86.86653578370525,31.2331434331044,143.35110910217796,86.86653578370525,86.86653578370525,0.0,0.0,0.0,0.0,0.0,0.0,86.86653578370525
2020-12-31,93.57283520731676,41.11806667116425,151.11024917905476,93.57283520731676,93.57283520731676,0.0,0.0,0.0,0.0,0.0,0.0,93.57283520731676
2021-01-31,100.27913463106128,45.17392326816396,155.13032141709743,100.27913463106128,100.27913463106128,0.0,0.0,0.0,0.0,0.0,0.0,100.27913463106128
2021-02-28,106.33643733671589,52.18581062283791,158.6779337191384,106.33643733671589,106.33643733671589,0.0,0.0,0.0,0.0,0.0,0.0,106.33643733671589
2021-03-31,113.04273716932224,53.15497802529827,171.9502903878551,113.04273716932224,113.04273716932224,0.0,0.0,0.0,0.0,0.0,0.0,113.04273716932224
2021-04-30,119.53270474971644,62.55769586335018,174.69833754727944,119.53270474971644,119.53270474971644,0.0,0.0,0.0,0.0,0.0,0.0,119.53270474971644
2021-05-31,126.23900458463619,71.29326656091553,184.41208272203343,126.23900458463619,126.23900458463619,0.0,0.0,0.0,0.0,0.0,0.0,126.23900458463619
2021-06-30,132.7289721685295,76.97293312429267,188.71891213211225,132.7289721685295,132.7289721685295,0.0,0.0,0.0,0.0,0.0,0.0,132.7289721685295
2021-07-31,139.4352720051247,82.27089477181994,194.6148220627956,139.4352720051247,139.4352720051247,0.0,0.0,0.0,0.0,0.0,0.0,139.4352720051247
2021-08-31,146.14157184374255,88.26966494859734,203.0190125542362,146.14157184374255,146.14157184374255,0.0,0.0,0.0,0.0,0.0,0.0,146.14157184374255
2021-09-30,152.63153943107395,99.3463510912585,205.68736300762907,152.63153943107395,152.63153943107395,0.0,0.0,0.0,0.0,0.0,0.0,152.63153943107395
2021-10-31,159.33783927131637,103.82247989354377,219.14742789639004,159.33783927131637,159.33783927131637,0.0,0.0,0.0,0.0,0.0,0.0,159.33783927131637
