ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-31,41.522355,35.49631366645992,102.20139609894399,41.522355,41.522355,28.680407426984278,28.680407426984278,28.680407426984278,28.680407426984278,28.680407426984278,28.680407426984278,0.0,0.0,0.0,70.20276242698428
2020-02-29,48.302789450704225,39.419072796765725,105.4399104693771,48.302789450704225,48.302789450704225,23.387363988168495,23.387363988168495,23.387363988168495,23.387363988168495,23.387363988168495,23.387363988168495,0.0,0.0,0.0,71.69015343887273
2020-03-31,55.55084006755773,23.015641264560752,86.04382527890913,55.55084006755773,55.55084006755773,-1.6794720058048076,-1.6794720058048076,-1.6794720058048076,-1.6794720058048076,-1.6794720058048076,-1.6794720058048076,0.0,0.0,0.0,53.871368061752925
2020-04-30,62.565082600346514,3.843330386848834,70.48116938106354,62.565082600346514,62.565082600346514,-25.576320042505433,-25.576320042505433,-25.576320042505433,-25.576320042505433,-25.576320042505433,-25.576320042505433,0.0,0.0,0.0,36.988762557841085
2020-05-31,69.81313322067138,5.500966602836636,75.38369652869581,69.81313322067138,69.81313322067138,-28.394013712833793,-28.394013712833793,-28.394013712833793,-28.394013712833793,-28.394013712833793,-28.394013712833793,0.0,0.0,0.0,41.41911950783758
2020-06-30,76.82737575486924,19.45543447533966,90.52084453643704,76.82737575486924,76.82737575486924,-21.57204095305916,-21.57204095305916,-21.57204095305916,-21.57204095305916,-21.57204095305916,-21.57204095305916,0.0,0.0,0.0,55.25533480181008
2020-07-31,84.0754263692357,-9.763722428489157,56.50556745169853,84.0754263692357,84.0754263692357,-60.410931823283924,-60.410931823283924,-60.410931823283924,-60.410931823283924,-60.410931823283924,-60.410931823283924,0.0,0.0,0.0,23.664494545951776
2020-08-31,91.32347698000781,-26.843619459152126,39.3125774893097,91.32347698000781,91.32347698000781,-84.2527679086988,-84.2527679086988,-84.2527679086988,-84.2527679086988,-84.2527679086988,-84.2527679086988,0.0,0.0,0.0,7.070709071309011
2020-09-30,98.33771950656143,14.87596130554825,82.55241108255001,98.33771950656143,98.33771950656143,-46.4663393424046,-46.4663393424046,-46.4663393424046,-46.4663393424046,-46.4663393424046,-46.4663393424046,0.0,0.0,0.0,51.871380164156825
2020-10-31,105.58577011707482,18.255856359560358,83.60156464922954,105.58577011707482,105.58577011707482,-53.74650785879094,-53.74650785879094,-53.74650785879094,-53.74650785879094,-53.74650785879094,-53.74650785879094,0.0,0.0,0.0,51.839262258283874
2020-11-30,112.60001265093453,59.885292689749775,127.04448317496731,112.60001265093453,112.60001265093453,-19.497189182986244,-19.497189182986244,-19.497189182986244,-19.497189182986244,-19.497189182986244,-19.497189182986244,0.0,0.0,0.0,93.10282346794828
2020-12-31,119.84806326730471,82.73847481845762,149.87759080810355,119.84806326730471,119.84806326730471,-3.7775062756994076,-3.7775062756994076,-3.7775062756994076,-3.7775062756994076,-3.7775062756994076,-3.7775062756994076,0.0,0.0,0.0,116.0705569916053
2021-01-31,127.09611695766938,50.77100972371177,114.4604204772828,127.09611695766938,127.09611695766938,-45.02524982112666,-45.02524982112666,-45.02524982112666,-45.02524982112666,-45.02524982112666,-45.02524982112666,0.0,0.0,0.0,82.07086713654272
2021-02-28,133.64297191254235,81.64224876546575,149.66035856488696,133.64297191254235,133.64297191254235,-15.928605005538987,-15.928605005538987,-15.928605005538987,-15.928605005538987,-15.928605005538987,-15.928605005538987,0.0,0.0,0.0,117.71436690700337
2021-03-31,140.89255255366479,105.2353221595244,169.0544472420967,140.89255255366479,140.89255255366479,-4.492763094767582,-4.492763094767582,-4.492763094767582,-4.492763094767582,-4.492763094767582,-4.492763094767582,0.0,0.0,0.0,136.3997894588972
2021-04-30,147.90946885939888,104.61011029924201,169.59572920247425,147.90946885939888,147.90946885939888,-9.381086348383766,-9.381086348383766,-9.381086348383766,-9.381086348383766,-9.381086348383766,-9.381086348383766,0.0,0.0,0.0,138.5283825110151
2021-05-31,155.16135769895791,109.90497797010791,179.08895337004347,155.16135769895791,155.16135769895791,-11.04652195542982,-11.04652195542982,-11.04652195542982,-11.04652195542982,-11.04652195542982,-11.04652195542982,0.0,0.0,0.0,144.1148357435281
2021-06-30,162.17931647197426,88.78226437517301,154.83842174540968,162.17931647197426,162.17931647197426,-38.405889925713524,-38.405889925713524,-38.405889925713524,-38.405889925713524,-38.405889925713524,-38.405889925713524,0.0,0.0,0.0,123.77342654626074
2021-07-31,169.43120720434837,62.79724263970537,129.11298604532394,169.43120720434837,169.43120720434837,-73.23709419411874,-73.23709419411874,-73.23709419411874,-73.23709419411874,-73.23709419411874,-73.23709419411874,0.0,0.0,0.0,96.19411301022963
2021-08-31,176.6830979460028,70.94561259626205,139.31389032928843,176.6830979460028,176.6830979460028,-70.78805122189667,-70.78805122189667,-70.78805122189667,-70.78805122189667,-70.78805122189667,-70.78805122189667,0.0,0.0,0.0,105.89504672410612
2021-09-30,183.70105672413112,104.94132311219569,171.20911509511905,183.70105672413112,183.70105672413112,-46.01090244039935,-46.01090244039935,-46.01090244039935,-46.01090244039935,-46.01090244039935,-46.01090244039935,0.0,0.0,0.0,137.69015428373177
2021-10-31,190.9529474615304,114.83781939242313,183.35206950663965,190.9529474615304,190.9529474615304,-42.14385297652039,-42.14385297652039,-42.14385297652039,-42.14385297652039,-42.14385297652039,-42.14385297652039,0.0,0.0,0.0,148.80909448501
2021-11-30,197.97090624583774,104.44653573825529,168.9865878285567,197.97090624583774,197.97090624583774,-61.10423593044204,-61.10423593044204,-61.10423593044204,-61.10423593044204,-61.10423593044204,-61.10423593044204,0.0,0.0,0.0,136.8666703153957
2021-12-31,205.22279699293276,197.26980182848592,264.16462412538374,205.22279699293276,205.22279699293276,27.20733372379969,27.20733372379969,27.20733372379969,27.20733372379969,27.20733372379969,27.20733372379969,0.0,0.0,0.0,232.43013071673244
2022-01-31,212.47468774539536,157.22557738735483,222.59157554872985,212.47468774539536,212.47468774539536,-19.728182182352473,-19.728182182352473,-19.728182182352473,-19.728182182352473,-19.728182182352473,-19.728182182352473,0.0,0.0,0.0,192.7465055630429
2022-02-28,219.02478261991035,130.47018387039336,197.58925241074874,219.02478261991035,219.02478261991035,-55.48743804598566,-55.48743804598566,-55.48743804598566,-55.48743804598566,-55.48743804598566,-55.48743804598566,0.0,0.0,0.0,163.53734457392468
2022-03-31,226.27667336768323,187.6954189159303,253.00512035987444,226.27667336768323,226.27667336768323,-6.582439582095542,-6.582439582095542,-6.582439582095542,-6.582439582095542,-6.582439582095542,-6.582439582095542,0.0,0.0,0.0,219.6942337855877
2022-04-30,233.29463215449897,207.57557917953898,271.75592885628737,233.29463215449897,233.29463215449897,7.129824395098503,7.129824395098503,7.129824395098503,7.129824395098503,7.129824395098503,7.129824395098503,0.0,0.0,0.0,240.42445654959747
2022-05-31,240.54652289652313,212.8548943072141,277.8165919206584,240.54652289652313,240.54652289652313,5.864138025600755,5.864138025600755,5.864138025600755,5.864138025600755,5.864138025600755,5.864138025600755,0.0,0.0,0.0,246.4106609221239
2022-06-30,247.56448167912714,160.27785058369494,226.7993799344163,247.56448167912714,247.56448167912714,-55.63867902144759,-55.63867902144759,-55.63867902144759,-55.63867902144759,-55.63867902144759,-55.63867902144759,0.0,0.0,0.0,191.92580265767955
2022-07-31,254.81637242115127,135.08714876981162,202.94324459427455,254.81637242115127,254.81637242115127,-85.71356209746692,-85.71356209746692,-85.71356209746692,-85.71356209746692,-85.71356209746692,-85.71356209746692,0.0,0.0,0.0,169.10281032368437
2022-08-31,262.06826316317546,174.68249886727097,239.1262725795012,262.06826316317546,262.06826316317546,-57.068225850997656,-57.068225850997656,-57.068225850997656,-57.068225850997656,-57.068225850997656,-57.068225850997656,0.0,0.0,0.0,205.0000373121778
2022-09-30,269.08622194577947,190.2274325995675,255.76591620064545,269.08622194577947,269.08622194577947,-45.658759768501895,-45.658759768501895,-45.658759768501895,-45.658759768501895,-45.658759768501895,-45.658759768501895,0.0,0.0,0.0,223.42746217727756
2022-10-31,276.33811268780363,210.19186520740303,279.8229260648087,276.33811268780363,276.33811268780363,-31.002008872952484,-31.002008872952484,-31.002008872952484,-31.002008872952484,-31.002008872952484,-31.002008872952484,0.0,0.0,0.0,245.33610381485116
2022-11-30,283.35607147040764,147.9671668848258,214.53070434337926,283.35607147040764,283.35607147040764,-102.32388776649391,-102.32388776649391,-102.32388776649391,-102.32388776649391,-102.32388776649391,-102.32388776649391,0.0,0.0,0.0,181.03218370391374
2022-12-31,290.6079622124318,315.9071844140626,384.0681783135111,290.6079622124318,290.6079622124318,58.89421743992314,58.89421743992314,58.89421743992314,58.89421743992314,58.89421743992314,58.89421743992314,0.0,0.0,0.0,349.5021796523549
2023-01-01,290.8418941718519,194.67422760794096,263.3025296899044,290.84179943549333,290.8419944683831,-63.51593276541961,-63.51593276541961,-63.51593276541961,-63.51593276541961,-63.51593276541961,-63.51593276541961,0.0,0.0,0.0,227.32596140643227
2023-02-01,298.0937849138761,166.4720909557081,233.42527883194276,298.0934866794028,298.09410001771727,-97.65474956185415,-97.65474956185415,-97.65474956185415,-97.65474956185415,-97.65474956185415,-97.65474956185415,0.0,0.0,0.0,200.43903535202196
2023-03-01,304.6438797776398,331.9961305214234,399.57175819119254,304.6433148714489,304.64450119064264,62.41765701242202,62.41765701242202,62.41765701242202,62.41765701242202,62.41765701242202,62.41765701242202,0.0,0.0,0.0,367.06153679006184
