ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-31,169.59510699999998,3.78605829431102,336.79713621384855,169.59510699999998,169.59510699999998,0.0,0.0,0.0,0.0,0.0,0.0,169.59510699999998
2020-02-29,191.49038488262912,30.7140437516958,358.2153633351839,191.49038488262912,191.49038488262912,0.0,0.0,0.0,0.0,0.0,0.0,191.49038488262912
2020-03-31,214.89568188616036,50.408410057573356,381.8756496883223,214.89568188616036,214.89568188616036,0.0,0.0,0.0,0.0,0.0,0.0,214.89568188616036
2020-04-30,237.54596939795843,75.69699940445241,404.25814252591096,237.54596939795843,237.54596939795843,0.0,0.0,0.0,0.0,0.0,0.0,237.54596939795843
2020-05-31,260.9512664137065,94.35713062094102,427.1723053128603,260.9512664137065,260.9512664137065,0.0,0.0,0.0,0.0,0.0,0.0,260.9512664137065
2020-06-30,283.60155384280324,119.70490081096281,434.55829242193903,283.60155384280324,283.60155384280324,0.0,0.0,0.0,0.0,0.0,0.0,283.60155384280324
2020-07-31,307.0068507860296,131.33864384073368,465.2660633464849,307.0068507860296,307.0068507860296,0.0,0.0,0.0,0.0,0.0,0.0,307.0068507860296
2020-08-31,330.4121476494484,159.29524743820878,500.1231300018991,330.4121476494484,330.4121476494484,0.0,0.0,0.0,0.0,0.0,0.0,330.4121476494484
2020-09-30,353.0624349366279,181.42964862761136,525.2493203047693,353.0624349366279,353.0624349366279,0.0,0.0,0.0,0.0,0.0,0.0,353.0624349366279
2020-10-31,376.46773187293945,211.77655217223608,544.3606009134191,376.46773187293945,376.46773187293945,0.0,0.0,0.0,0.0,0.0,0.0,376.46773187293945
2020-11-30,399.1180192469871,232.55473151005512,568.4346912140105,399.1180192469871,399.1180192469871,0.0,0.0,0.0,0.0,0.0,0.0,399.1180192469871
2020-12-31,422.5233161890905,252.72974637968798,583.329025689042,422.5233161890905,422.5233161890905,0.0,0.0,0.0,0.0,0.0,0.0,422.5233161890905
2021-01-31,445.92861309792704,282.90261660169705,619.0003254870829,445.92861309792704,445.92861309792704,0.0,0.0,0.0,0.0,0.0,0.0,445.92861309792704
2021-02-28,467.068881282227,290.2793072886296,639.856511893142,467.068881282227,467.068881282227,0.0,0.0,0.0,0.0,0.0,0.0,467.068881282227
2021-03-31,490.4741782837531,333.7625110443456,664.4982693926363,490.4741782837531,490.4741782837531,0.0,0.0,0.0,0.0,0.0,0.0,490.4741782837531
2021-04-30,513.1244657848109,345.98487387428827,687.6805275858497,513.1244657848109,513.1244657848109,0.0,0.0,0.0,0.0,0.0,0.0,513.1244657848109
2021-05-31,536.5297631124818,369.9290315632843,693.5042945757688,536.5297631124818,536.5297631124818,0.0,0.0,0.0,0.0,0.0,0.0,536.5297631124818
2021-06-30,559.1800509926815,372.32858278676605,731.8366803970194,559.1800509926815,559.1800509926815,0.0,0.0,0.0,0.0,0.0,0.0,559.1800509926815
2021-07-31,582.5853485967758,418.50343584429464,752.2684333748346,582.5853485967758,582.5853485967758,0.0,0.0,0.0,0.0,0.0,0.0,582.5853485967758
2021-08-31,605.9906479251945,426.75132048019395,772.149819275881,605.9906479251945,605.9906479251945,0.0,0.0,0.0,0.0,0.0,0.0,605.9906479251945
2021-09-30,628.6409375906892,467.7472634064127,804.919153915816,628.6409375906892,628.6409375906892,0.0,0.0,0.0,0.0,0.0,0.0,628.6409375906892
2021-10-31,652.0462369117005,478.27047764714683,805.018065061072,652.0462369117005,652.0462369117005,0.0,0.0,0.0,0.0,0.0,0.0,652.0462369117005
2021-11-30,674.6965265520887,513.5414862583384,848.0302241861749,674.6965265520887,674.6965265520887,0.0,0.0,0.0,0.0,0.0,0.0,674.6965265520887
2021-12-31,698.1018259621961,521.7649932976573,862.6114866762808,698.1018259621961,698.1018259621961,0.0,0.0,0.0,0.0,0.0,0.0,698.1018259621961
2022-01-31,721.5071253953978,556.096258197593,879.0027145807214,721.5071253953978,721.5071253953978,0.0,0.0,0.0,0.0,0.0,0.0,721.5071253953978
2022-02-28,742.6473958947154,578.8612550753184,908.6559860266085,742.6473958947154,742.6473958947154,0.0,0.0,0.0,0.0,0.0,0.0,742.6473958947154
2022-03-31,766.0526953169399,599.3986176524866,951.601342103604,766.0526953169399,766.0526953169399,0.0,0.0,0.0,0.0,0.0,0.0,766.0526953169399
2022-04-30,788.7029851780724,623.0257746205788,953.1849583998106,788.7029851780724,788.7029851780724,0.0,0.0,0.0,0.0,0.0,0.0,788.7029851780724
2022-05-31,812.1082847872973,652.7993202770729,981.889280426439,812.1082847872973,812.1082847872973,0.0,0.0,0.0,0.0,0.0,0.0,812.1082847872973
2022-06-30,834.7585747317087,672.1752332382832,1008.5195220557522,834.7585747317087,834.7585747317087,0.0,0.0,0.0,0.0,0.0,0.0,834.7585747317087
2022-07-31,858.1638743409336,686.2712713655833,1029.0718665438503,858.1638743409336,858.1638743409336,0.0,0.0,0.0,0.0,0.0,0.0,858.1638743409336
2022-08-31,881.5691739501585,693.788687889413,1051.9392072839112,881.5691739501585,881.5691739501585,0.0,0.0,0.0,0.0,0.0,0.0,881.5691739501585
2022-09-30,904.21946389457,731.783018665917,1064.713266994881,904.21946389457,904.21946389457,0.0,0.0,0.0,0.0,0.0,0.0,904.21946389457
2022-10-31,927.624763503795,762.9567812444166,1102.2139621360998,927.624763503795,927.624763503795,0.0,0.0,0.0,0.0,0.0,0.0,927.624763503795
2022-11-30,950.2750534482063,781.7873537213198,1114.6626926145887,950.2750534482063,950.2750534482063,0.0,0.0,0.0,0.0,0.0,0.0,950.2750534482063
2022-12-31,973.6803530574313,801.5537189643281,1140.975373153578,973.6803530574313,973.6803530574313,0.0,0.0,0.0,0.0,0.0,0.0,973.6803530574313
2023-01-01,974.4353627222449,810.345438404258,1123.624494590799,974.4353624352915,974.435363015846,0.0,0.0,0.0,0.0,0.0,0.0,974.4353627222449
2023-02-01,997.8406623314701,827.1903522246553,1155.7364705672792,997.8406614449683,997.8406632552397,0.0,0.0,0.0,0.0,0.0,0.0,997.8406623314701
2023-03-01,1018.9809329462537,854.9981928235514,1192.653897616173,1018.9809311700626,1018.9809347271339,0.0,0.0,0.0,0.0,0.0,0.0,1018.9809329462537
2023-04-01,1042.386232555479,874.8806142999474,1216.7979813386064,1042.3862297123303,1042.3862353806687,0.0,0.0,0.0,0.0,0.0,0.0,1042.386232555479
2023-05-01,1065.0365224998902,903.1490205570096,1213.6691272765127,1065.0365184366153,1065.0365264611169,0.0,0.0,0.0,0.0,0.0,0.0,1065.0365224998902
2023-06-01,1088.4418221091153,925.7555507142969,1241.251927620426,1088.4418166287248,1088.4418275901462,0.0,0.0,0.0,0.0,0.0,0.0,1088.4418221091153
