ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-31,75.683796,32.76301768578592,124.28517292636737,75.683796,75.683796,0.0,0.0,0.0,0.0,0.0,0.0,75.683796
2020-02-29,77.37067812957747,31.44190562294978,122.00966117501142,77.37067812957747,77.37067812957747,0.0,0.0,0.0,0.0,0.0,0.0,77.37067812957747
2020-03-31,79.17389695790241,31.95296142662123,127.5799221526219,79.17389695790241,79.17389695790241,0.0,0.0,0.0,0.0,0.0,0.0,79.17389695790241
2020-04-30,80.91894743620982,36.499104789029,128.48546242192566,80.91894743620982,80.91894743620982,0.0,0.0,0.0,0.0,0.0,0.0,80.91894743620982
2020-05-31,82.7221662645505,36.750556852373215,127.94781890280022,82.7221662645505,82.7221662645505,0.0,0.0,0.0,0.0,0.0,0.0,82.7221662645505
2020-06-30,84.46721674454363,37.31372277946513,130.61759526340668,84.46721674454363,84.46721674454363,0.0,0.0,0.0,0.0,0.0,0.0,84.46721674454363
2020-07-31,86.27043557355925,41.81529689149324,132.57210662653006,86.27043557355925,86.27043557355925,0.0,0.0,0.0,0.0,0.0,0.0,86.27043557355925
2020-08-31,88.07365440295646,45.55737873035539,134.03854847777848,88.07365440295646,88.07365440295646,0.0,0.0,0.0,0.0,0.0,0.0,88.07365440295646
2020-09-30,89.81870488301827,42.06601997319226,135.066449646932,89.81870488301827,89.81870488301827,0.0,0.0,0.0,0.0,0.0,0.0,89.81870488301827
2020-10-31,91.62192371275232,49.08992156982314,133.48249324918552,91.62192371275232,91.62192371275232,0.0,0.0,0.0,0.0,0.0,0.0,91.62192371275232
2020-11-30,93.36697419316656,47.486130504624334,141.5218872499788,93.36697419316656,93.36697419316656,0.0,0.0,0.0,0.0,0.0,0.0,93.36697419316656
2020-12-31,95.1701930240332,50.58817546756793,142.0535513589787,95.1701930240332,95.1701930240332,0.0,0.0,0.0,0.0,0.0,0.0,95.1701930240332
2021-01-31,96.97341185545952,50.201492335689686,146.91193942705797,96.97341185545952,96.97341185545952,0.0,0.0,0.0,0.0,0.0,0.0,96.97341185545952
2021-02-28,98.60212563792096,52.15090480165756,146.53327605788667,98.60212563792096,98.60212563792096,0.0,0.0,0.0,0.0,0.0,0.0,98.60212563792096
2021-03-31,100.40534446758936,52.53702182333588,146.59786670341953,100.40534446758936,100.40534446758936,0.0,0.0,0.0,0.0,0.0,0.0,100.40534446758936
2021-04-30,102.15039494891361,54.940274621845866,151.57837669472087,102.15039494891361,102.15039494891361,0.0,0.0,0.0,0.0,0.0,0.0,102.15039494891361
2021-05-31,103.95361377914192,57.22258877542039,148.84373295902287,103.95361377914192,103.95361377914192,0.0,0.0,0.0,0.0,0.0,0.0,103.95361377914192
2021-06-30,105.69866426011217,54.98545450680561,153.37880774018757,105.69866426011217,105.69866426011217,0.0,0.0,0.0,0.0,0.0,0.0,105.69866426011217
2021-07-31,107.50188308964265,58.01316510029679,149.44429898887378,107.50188308964265,107.50188308964265,0.0,0.0,0.0,0.0,0.0,0.0,107.50188308964265
2021-08-31,109.30510191922141,63.81620717449275,158.25750064235905,109.30510191922141,109.30510191922141,0.0,0.0,0.0,0.0,0.0,0.0,109.30510191922141
2021-09-30,111.05015239917122,69.50393217847024,159.0066645173657,111.05015239917122,111.05015239917122,0.0,0.0,0.0,0.0,0.0,0.0,111.05015239917122
2021-10-31,112.85337122845269,66.18658445592882,155.52887416478214,112.85337122845269,112.85337122845269,0.0,0.0,0.0,0.0,0.0,0.0,112.85337122845269
2021-11-30,114.59842170843339,67.08400301478655,160.727097781751,114.59842170843339,114.59842170843339,0.0,0.0,0.0,0.0,0.0,0.0,114.59842170843339
2021-12-31,116.40164053664714,68.77257971554647,164.53158262975677,116.40164053664714,116.40164053664714,0.0,0.0,0.0,0.0,0.0,0.0,116.40164053664714
2022-01-31,118.2048593645377,71.87926806175557,162.94520812456724,118.2048593645377,118.2048593645377,0.0,0.0,0.0,0.0,0.0,0.0,118.2048593645377
2022-02-28,119.83357314404613,70.64837972544572,169.13123031347692,119.83357314404613,119.83357314404613,0.0,0.0,0.0,0.0,0.0,0.0,119.83357314404613
2022-03-31,121.63679197083994,75.68922801672639,166.81035811872493,121.63679197083994,121.63679197083994,0.0,0.0,0.0,0.0,0.0,0.0,121.63679197083994
2022-04-30,123.38184244748442,74.37016605230576,169.2348882471922,123.38184244748442,123.38184244748442,0.0,0.0,0.0,0.0,0.0,0.0,123.38184244748442
2022-05-31,125.18506127231069,74.12594820563355,173.04934381438548,125.18506127231069,125.18506127231069,0.0,0.0,0.0,0.0,0.0,0.0,125.18506127231069
2022-06-30,126.93011174794901,77.08828434330582,170.97767226552332,126.93011174794901,126.93011174794901,0.0,0.0,0.0,0.0,0.0,0.0,126.93011174794901
2022-07-31,128.7333305727753,82.21968565019374,175.38964054629196,128.7333305727753,128.7333305727753,0.0,0.0,0.0,0.0,0.0,0.0,128.7333305727753
2022-08-31,130.53654939760156,86.70980784308404,178.38626344784552,130.53654939760156,130.53654939760156,0.0,0.0,0.0,0.0,0.0,0.0,130.53654939760156
2022-09-30,132.28159987323986,84.8148000487683,180.11580358057188,132.28159987323986,132.28159987323986,0.0,0.0,0.0,0.0,0.0,0.0,132.28159987323986
2022-10-31,134.08481869806613,84.87328343663819,180.49454018038688,134.08481869806613,134.08481869806613,0.0,0.0,0.0,0.0,0.0,0.0,134.08481869806613
2022-11-30,135.82986917370448,87.5657757737469,181.43020681197126,135.82986917370448,135.82986917370448,0.0,0.0,0.0,0.0,0.0,0.0,135.82986917370448
2022-12-31,137.63308799853073,87.59639333926414,184.11358628773883,137.63308799853073,137.63308799853073,0.0,0.0,0.0,0.0,0.0,0.0,137.63308799853073
2023-01-01,137.69125634771868,90.52783184804728,182.16505219333112,137.69125630657072,137.69125638924157,0.0,0.0,0.0,0.0,0.0,0.0,137.69125634771868
2023-02-01,139.49447517254495,92.95015942248423,183.65292479690626,139.4944750532353,139.4944753036801,0.0,0.0,0.0,0.0,0.0,0.0,139.49447517254495
2023-03-01,141.12318894980737,92.42613404191556,188.2719205291078,141.12318871433916,141.12318918856448,0.0,0.0,0.0,0.0,0.0,0.0,141.12318894980737
2023-04-01,142.92640777463365,100.22932959288995,186.8337327737639,142.9264074101682,142.9264081584817,0.0,0.0,0.0,0.0,0.0,0.0,142.92640777463365
2023-05-01,144.67145825027197,97.89139792387351,191.06795013922445,144.67145771524758,144.6714588360848,0.0,0.0,0.0,0.0,0.0,0.0,144.67145825027197
2023-06-01,146.47467707509824,102.13897627946517,191.72339635486188,146.47467638090342,146.47467785576583,0.0,0.0,0.0,0.0,0.0,0.0,146.47467707509824
2023-07-01,148.2197275507366,103.57618433087386,192.73227933925955,148.21972664076188,148.2197285130284,0.0,0.0,0.0,0.0,0.0,0.0,148.2197275507366
2023-08-01,150.02294637556284,102.09030025028282,193.6196025702512,150.02294526752243,150.02294755282406,0.0,0.0,0.0,0.0,0.0,0.0,150.02294637556284
2023-09-01,151.8261652003891,101.40402082497543,200.33372171328367,151.82616385439871,151.826166585087,0.0,0.0,0.0,0.0,0.0,0.0,151.8261652003891
2023-10-01,153.5712156760274,103.40678969121163,198.0103355837712,153.57121408994095,153.57121734236281,0.0,0.0,0.0,0.0,0.0,0.0,153.5712156760274
2023-11-01,155.37443450085368,108.68134137985452,202.27252954656936,155.37443263515155,155.3744364253117,0.0,0.0,0.0,0.0,0.0,0.0,155.37443450085368
2023-12-01,157.119484976492,113.29309278209547,200.74195311439806,157.11948282369664,157.11948711297072,0.0,0.0,0.0,0.0,0.0,0.0,157.119484976492
2024-01-01,158.92270380131828,113.32937011427569,204.1918998623105,158.92270129716712,158.9227061964838,0.0,0.0,0.0,0.0,0.0,0.0,158.92270380131828
2024-02-01,160.72592262614455,109.15401015175709,207.17314275067844,160.7259198076839,160.72592530794276,0.0,0.0,0.0,0.0,0.0,0.0,160.72592262614455
2024-03-01,162.41280475259492,115.87186101748452,210.80358961491095,162.412801635889,162.41280777607207,0.0,0.0,0.0,0.0,0.0,0.0,162.41280475259492
2024-04-01,164.21602357742117,119.4405465241823,209.722371765615,164.2160201162124,164.21602692696476,0.0,0.0,0.0,0.0,0.0,0.0,164.21602357742117
2024-05-01,165.96107405305952,122.45308014492872,212.61425733102436,165.96107031532114,165.9610776265691,0.0,0.0,0.0,0.0,0.0,0.0,165.96107405305952
2024-06-01,167.7642928778858,123.90748954000054,213.14029848601618,167.7642888855883,167.7642967183507,0.0,0.0,0.0,0.0,0.0,0.0,167.7642928778858
2024-07-01,169.50934335352412,126.16093425891302,214.36339590603657,169.50933905998787,169.50934747840913,0.0,0.0,0.0,0.0,0.0,0.0,169.50934335352412
2024-08-01,171.31256217835036,126.17717949866099,220.4365645766207,171.31255752030452,171.31256659616483,0.0,0.0,0.0,0.0,0.0,0.0,171.31256217835036
2024-09-01,173.11578100317666,129.93481934595167,216.88284974229222,173.11577596699712,173.11578579133197,0.0,0.0,0.0,0.0,0.0,0.0,173.11578100317666
2024-10-01,174.86083147881496,124.96937800690554,220.13173693506553,174.86082599070352,174.86083666411886,0.0,0.0,0.0,0.0,0.0,0.0,174.86083147881496
2024-11-01,176.66405030364123,128.224583343361,223.17033701287386,176.6640443805105,176.66405584613747,0.0,0.0,0.0,0.0,0.0,0.0,176.66405030364123
2024-12-01,178.40910077927958,127.13862540813591,225.9419415103977,178.40909451657998,178.40910670414112,0.0,0.0,0.0,0.0,0.0,0.0,178.40910077927958
2025-01-01,180.21231960410583,131.21220194372273,225.12833552289229,180.21231278509518,180.2123259496886,0.0,0.0,0.0,0.0,0.0,0.0,180.21231960410583
2025-02-01,182.01553842893208,130.87586711572283,230.47843871618824,182.0155312060935,182.01554515572545,0.0,0.0,0.0,0.0,0.0,0.0,182.01553842893208
2025-03-01,183.64425220619455,133.42496866178135,230.1720546677909,183.64424448356252,183.64425933592284,0.0,0.0,0.0,0.0,0.0,0.0,183.64425220619455
2025-04-01,185.4474710310208,142.96427846932983,232.5777400102056,185.44746284277656,185.44747863116717,0.0,0.0,0.0,0.0,0.0,0.0,185.4474710310208
2025-05-01,187.19252150665912,140.84347202875836,234.3066229741919,187.19251289801883,187.19252961035568,0.0,0.0,0.0,0.0,0.0,0.0,187.19252150665912
2025-06-01,188.9957403314854,143.77707628986366,237.59548819082272,188.9957313430927,188.9957488707477,0.0,0.0,0.0,0.0,0.0,0.0,188.9957403314854
2025-07-01,190.74079080712372,141.34458726830886,236.47860490416596,190.74078131264793,190.7407996976998,0.0,0.0,0.0,0.0,0.0,0.0,190.74079080712372
2025-08-01,192.54400963194996,144.93173620319266,235.48498523884663,192.54399968750513,192.5440189514044,0.0,0.0,0.0,0.0,0.0,0.0,192.54400963194996
2025-09-01,194.3472284567762,148.62461451259745,242.5205504445268,194.3472180930609,194.34723814962953,0.0,0.0,0.0,0.0,0.0,0.0,194.3472284567762
2025-10-01,196.09227893241456,149.72322648509441,244.44563613508316,196.0922681269548,196.0922890374571,0.0,0.0,0.0,0.0,0.0,0.0,196.09227893241456
2025-11-01,197.89549775724086,150.50804309036332,244.6918543190626,197.89548653320435,197.89550823417542,0.0,0.0,0.0,0.0,0.0,0.0,197.89549775724086
2025-12-01,199.64054823287918,152.9373636406137,245.06604927146637,199.64053659961368,199.64055913024947,0.0,0.0,0.0,0.0,0.0,0.0,199.64054823287918
