ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-31,75.150655,29.466838392616477,120.60226070664108,75.150655,75.150655,0.0,0.0,0.0,0.0,0.0,0.0,75.150655
2020-02-29,78.46187943849763,32.10323903373972,124.72387101646717,78.46187943849763,78.46187943849763,0.0,0.0,0.0,0.0,0.0,0.0,78.46187943849763
2020-03-31,82.00146418337833,41.388995034141786,129.9958590820321,82.00146418337833,82.00146418337833,0.0,0.0,0.0,0.0,0.0,0.0,82.00146418337833
2020-04-30,85.42686877531555,40.081410580153396,132.51869892284353,85.42686877531555,85.42686877531555,0.0,0.0,0.0,0.0,0.0,0.0,85.42686877531555
2020-05-31,88.9664535206243,43.71837888325696,135.61693616912927,88.9664535206243,88.9664535206243,0.0,0.0,0.0,0.0,0.0,0.0,88.9664535206243
2020-06-30,92.39185811323534,45.694541830495076,137.04546390563786,92.39185811323534,92.39185811323534,0.0,0.0,0.0,0.0,0.0,0.0,92.39185811323534
2020-07-31,95.93144285904008,52.31510671441054,139.95346855142574,95.93144285904008,95.93144285904008,0.0,0.0,0.0,0.0,0.0,0.0,95.93144285904008
2020-08-31,99.4710276047131,57.6309571471312,143.10841033161077,99.4710276047131,99.4710276047131,0.0,0.0,0.0,0.0,0.0,0.0,99.4710276047131
2020-09-30,102.8964321972999,57.25517379480814,150.74708066886367,102.8964321972999,102.8964321972999,0.0,0.0,0.0,0.0,0.0,0.0,102.8964321972999
2020-10-31,106.43601694299736,62.151285195139124,150.11608474660486,106.43601694299736,106.43601694299736,0.0,0.0,0.0,0.0,0.0,0.0,106.43601694299736
2020-11-30,109.86142153580829,66.35959424378275,155.93384945058366,109.86142153580829,109.86142153580829,0.0,0.0,0.0,0.0,0.0,0.0,109.86142153580829
