ds;yhat
2020-01-31;6,656293365
2020-02-29;4,193526346
2020-03-31;3,509635420
2020-04-30;10,024920002
2020-05-31;3,766613111
2020-06-30;6,153008542
2020-07-31;5,521399563
2020-08-31;4,178999070
2020-09-30;2,684583805
2020-10-31;2,903628329
2020-11-30;10,274193627
2020-12-31;3,579174775
2021-01-31;2,115865952
2021-02-28;7,691327216
2021-03-31;6,036544520
2021-04-30;7,334978521
2021-05-31;6,975680428
2021-06-30;9,674961536
2021-07-31;7,006778200
2021-08-31;6,667445305
2021-09-30;4,667089285
2021-10-31;6,688158144
2021-11-30;8,682843856
2021-12-31;4,640210168
2022-01-31;6,239568604
2022-02-28;11,143904881
2022-03-31;8,471011710
2022-04-30;4,656803802
2022-05-31;10,269843290
2022-06-30;13,194572963
2022-07-31;8,480791644
2022-08-31;9,156989030
2022-09-30;6,647609187
2022-10-31;10,419048555
2022-11-30;7,071604447
2022-12-31;5,789553366
2023-01-01;9,707302252
2023-02-01;2,034097796
2023-03-01;8,644441981
2023-04-01;8,881602011
2023-05-01;20,712910081
2023-06-01;8,634436221
2023-07-01;10,622133750
2023-08-01;12,016190486
2023-09-01;9,683670535
2023-10-01;8,692064140
2023-11-01;7,057993276
2023-12-01;19,832965118
2024-01-01;10,596378863
2024-02-01;6,040804731
2024-03-01;5,784335597
2024-04-01;8,460618373
2024-05-01;36,782082640
2024-06-01;7,769256905
2024-07-01;8,064101171
2024-08-01;15,451341246
2024-09-01;10,230790884
2024-10-01;10,728562233
2024-11-01;3,235431978
2024-12-01;32,341604697
2025-01-01;16,168703317
2025-02-01;2,201232335
2025-03-01;9,437135337
2025-04-01;11,356792695
2025-05-01;34,096652039
2025-06-01;10,635750796
2025-07-01;11,575741119
2025-08-01;16,981024107
2025-09-01;12,708979669
2025-10-01;12,713477261
2025-11-01;7,222554407
2025-12-01;30,870704964
